	first_name	last_name	grid_iden	freq	full_name
226	Ashkan	Pirmani	grid.12155.32	3	a_pirmani
227	Steve	Simpson-Yap	grid.1008.9	3	s_simpson-yap
228	Tim	Spelman	grid.4714.6	3	t_spelman
229	Giancarlo	Comi	grid.18887.3e	3	g_comi
230	Barbara	Gripp		3	b_gripp
231	Johannes	Kornhuber	grid.5330.5	3	j_kornhuber
232	Brit	Mollenhauer	grid.411984.1	3	b_mollenhauer
233	Massimo	Mancone	grid.7841.a	3	m_mancone
234	Gianfranco	Mitacchione	grid.144767.7	3	g_mitacchione
235	Spinello	Antinori	grid.4708.b	3	s_antinori
236	Massimo	Galli	grid.144767.7	3	m_galli
237	Massimo	Galli	grid.4708.b	3	m_galli
238	Luise	Graichen	grid.7450.6	3	l_graichen
239	Anzhalika	Sidarovich	grid.418215.b	3	a_sidarovich
240	Anzhalika	Sidarovich	grid.7450.6	3	a_sidarovich
241	Anna-Sophie	Moldenhauer	grid.418215.b	3	a_moldenhauer
242	Georg M. N.	Behrens	grid.10423.34	3	g_behrens
243	Thomas	Eiwegger	grid.42327.30	3	t_eiwegger
244	Hans	Merk	grid.1957.a	3	h_merk
245	Uta	Rabe		3	u_rabe
246	Norbert	Mülleneisen		3	n_muelleneisen
247	Holger	Wrede		3	h_wrede
248	Thomas	Fuchs	grid.7450.6	3	t_fuchs
249	Kirsten	Jung		3	k_jung
250	Johannes	Ring		3	j_ring
251	Annika	Kratzel	grid.5734.5	3	a_kratzel
252	Mohsan	Saeed	grid.189504.1	3	m_saeed
253	Eike	Steinmann	grid.5570.7	3	e_steinmann
254	Volker	Thiel	grid.438536.f	3	v_thiel
255	Laurent	Thomas	grid.5947.f	3	l_thomas
256	Michael	Winkler	grid.418215.b	3	m_winkler
257	Tim	Hempel	grid.14095.39	3	t_hempel
258	Frank	Noé	grid.14095.39	3	f_noé
259	Julie	Schanz	grid.411984.1	3	j_schanz
260	Alexander	Kleger	grid.410712.1	3	a_kleger
261	Frank	Neipel	grid.5330.5	3	f_neipel
262	Armin	Ensser	grid.5330.5	3	a_ensser
263	Gema Morillas	Ramos	grid.10423.34	3	g_ramos
264	Alexandra	Dopfer-Jablonka	grid.10423.34	3	a_dopfer-jablonka
265	Christiane	Ritter	grid.10423.34	3	c_ritter
266	Inga	Ravens	grid.10423.34	3	i_ravens
267	Stefanie	Willenzon	grid.10423.34	3	s_willenzon
268	Günter	Bernhardt	grid.10423.34	3	g_bernhardt
269	Berislav	Bošnjak	grid.10423.34	3	b_bošnjak
270	Gholamhossein	Bagheri	grid.419514.c	3	g_bagheri
271	Eberhard	Bodenschatz	grid.419514.c	3	e_bodenschatz
