	id	main_affiliation	for_v1_first_level	for_v1_second_level
298	pub.1127764645	grid.22254.33	Medical and Health Sciences	Clinical Sciences
299	pub.1127764645	grid.411075.6	Medical and Health Sciences	Clinical Sciences
300	pub.1127764645	grid.411023.5	Medical and Health Sciences	Clinical Sciences
301	pub.1127764645	grid.38142.3c	Medical and Health Sciences	Clinical Sciences
302	pub.1127764645	grid.9613.d	Medical and Health Sciences	Clinical Sciences
303	pub.1127769033	grid.6363.0	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
304	pub.1127769033	grid.410721.1	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
305	pub.1127769033	grid.413120.5	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
306	pub.1127769033	grid.261331.4	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
307	pub.1127769033	grid.10423.34	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
308	pub.1127769033	grid.11899.38	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
309	pub.1127769033	grid.39382.33	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
310	pub.1127769033	grid.38142.3c	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
311	pub.1127769033	grid.459746.d	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
312	pub.1127769033	grid.8756.c	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
313	pub.1127769033	grid.17089.37	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
314	pub.1127769033	grid.5216.0	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
315	pub.1127769033	grid.411984.1	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
316	pub.1127769033	grid.189509.c	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
317	pub.1127769033	grid.4494.d	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
318	pub.1127769033	grid.412807.8	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
319	pub.1127769033	grid.62560.37	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
320	pub.1127769033	grid.7637.5	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
321	pub.1127769033	grid.411588.1	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
322	pub.1127769033	grid.452396.f	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
323	pub.1127769033	grid.8991.9	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
324	pub.1127769033	grid.4495.c	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
325	pub.1127769033	grid.18887.3e	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
326	pub.1127769033	grid.266102.1	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
327	pub.1127769033	grid.177174.3	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
328	pub.1127769033	grid.17063.33	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
329	pub.1127769033	grid.437929.2	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
330	pub.1127769033	grid.29172.3f	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
331	pub.1127769033	grid.415105.4	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
332	pub.1127769033	grid.419269.1	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
333	pub.1127769033	grid.7372.1	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology
334	pub.1127813540	grid.7872.a	Biological Sciences	Genetics
335	pub.1127813540	grid.168010.e	Biological Sciences	Genetics
336	pub.1127813540	grid.418140.8	Biological Sciences	Genetics
337	pub.1127813540	grid.223827.e	Biological Sciences	Genetics
338	pub.1127813540	grid.266102.1	Biological Sciences	Genetics
339	pub.1127813540	grid.418853.3	Biological Sciences	Genetics
340	pub.1127864358	grid.7450.6	Medical and Health Sciences	Clinical Sciences
341	pub.1127864358	grid.7450.6	Medical and Health Sciences	Public Health and Health Services
342	pub.1127864358	grid.17635.36	Medical and Health Sciences	Clinical Sciences
343	pub.1127864358	grid.17635.36	Medical and Health Sciences	Public Health and Health Services
344	pub.1127950021	grid.7048.b	Medical and Health Sciences	Medical Microbiology
345	pub.1127950021	grid.154185.c	Medical and Health Sciences	Medical Microbiology
346	pub.1127950021	grid.465524.4	Medical and Health Sciences	Medical Microbiology
347	pub.1127950021	grid.4991.5	Medical and Health Sciences	Medical Microbiology
348	pub.1127950021	grid.414148.c	Medical and Health Sciences	Medical Microbiology
349	pub.1127950021	grid.28046.38	Medical and Health Sciences	Medical Microbiology
350	pub.1127950021	grid.5254.6	Medical and Health Sciences	Medical Microbiology
351	pub.1127950021	grid.411984.1	Medical and Health Sciences	Medical Microbiology
352	pub.1127950021	grid.21155.32	Medical and Health Sciences	Medical Microbiology
353	pub.1127950021	grid.452606.3	Medical and Health Sciences	Medical Microbiology
354	pub.1128016388	grid.17091.3e	Biological Sciences	Biochemistry and Cell Biology
355	pub.1128016388	grid.17091.3e	Biological Sciences	Microbiology
356	pub.1128016388	grid.17091.3e	Biological Sciences	Plant Biology
357	pub.1128016388	grid.7450.6	Biological Sciences	Biochemistry and Cell Biology
358	pub.1128016388	grid.7450.6	Biological Sciences	Microbiology
359	pub.1128016388	grid.7450.6	Biological Sciences	Plant Biology
