	id	main_affiliation	category
126	pub.1126024433	grid.34477.33	Medical and Health Sciences
127	pub.1126024433	grid.16753.36	Clinical Sciences
128	pub.1126024433	grid.16753.36	Medical and Health Sciences
129	pub.1126024433	grid.462844.8	Clinical Sciences
130	pub.1126024433	grid.462844.8	Medical and Health Sciences
131	pub.1126024433	grid.66875.3a	Clinical Sciences
132	pub.1126024433	grid.66875.3a	Medical and Health Sciences
133	pub.1126024433	grid.239395.7	Clinical Sciences
134	pub.1126024433	grid.239395.7	Medical and Health Sciences
135	pub.1126024433	grid.239915.5	Clinical Sciences
136	pub.1126024433	grid.239915.5	Medical and Health Sciences
137	pub.1126024433	grid.25073.33	Clinical Sciences
138	pub.1126024433	grid.25073.33	Medical and Health Sciences
139	pub.1126024433	grid.430666.1	Clinical Sciences
140	pub.1126024433	grid.430666.1	Medical and Health Sciences
141	pub.1126024433	grid.7836.a	Clinical Sciences
142	pub.1126024433	grid.7836.a	Medical and Health Sciences
143	pub.1126024433	grid.29980.3a	Clinical Sciences
144	pub.1126024433	grid.29980.3a	Medical and Health Sciences
145	pub.1126664345	grid.38603.3e	Clinical Sciences
146	pub.1126664345	grid.38603.3e	Human Movement and Sports Science
147	pub.1126664345	grid.38603.3e	Neurosciences
148	pub.1126664345	grid.38603.3e	Medical and Health Sciences
149	pub.1126693969	grid.4708.b	Medical and Health Sciences
150	pub.1126693969	grid.411482.a	Medical and Health Sciences
151	pub.1126701081	grid.239395.7	Clinical Sciences
152	pub.1126701081	grid.239395.7	Immunology
153	pub.1126701081	grid.239395.7	Public Health and Health Services
154	pub.1126701081	grid.239395.7	Medical and Health Sciences
155	pub.1126701081	grid.34477.33	Clinical Sciences
156	pub.1126701081	grid.34477.33	Immunology
157	pub.1126701081	grid.34477.33	Public Health and Health Services
158	pub.1126701081	grid.34477.33	Medical and Health Sciences
159	pub.1126701081	grid.16753.36	Clinical Sciences
160	pub.1126701081	grid.16753.36	Immunology
161	pub.1126701081	grid.16753.36	Public Health and Health Services
162	pub.1126701081	grid.16753.36	Medical and Health Sciences
163	pub.1126701081	grid.168010.e	Clinical Sciences
164	pub.1126701081	grid.168010.e	Immunology
165	pub.1126701081	grid.168010.e	Public Health and Health Services
166	pub.1126701081	grid.168010.e	Medical and Health Sciences
167	pub.1126701081	grid.25073.33	Clinical Sciences
168	pub.1126701081	grid.25073.33	Immunology
169	pub.1126701081	grid.25073.33	Public Health and Health Services
170	pub.1126701081	grid.25073.33	Medical and Health Sciences
171	pub.1126701081	grid.462844.8	Clinical Sciences
172	pub.1126701081	grid.462844.8	Immunology
173	pub.1126701081	grid.462844.8	Public Health and Health Services
174	pub.1126701081	grid.462844.8	Medical and Health Sciences
175	pub.1126701081	grid.66875.3a	Clinical Sciences
176	pub.1126701081	grid.66875.3a	Immunology
177	pub.1126701081	grid.66875.3a	Public Health and Health Services
178	pub.1126701081	grid.66875.3a	Medical and Health Sciences
179	pub.1126701081	grid.29980.3a	Clinical Sciences
180	pub.1126701081	grid.29980.3a	Immunology
181	pub.1126701081	grid.29980.3a	Public Health and Health Services
182	pub.1126701081	grid.29980.3a	Medical and Health Sciences
183	pub.1126701081	grid.21107.35	Clinical Sciences
184	pub.1126701081	grid.21107.35	Immunology
185	pub.1126701081	grid.21107.35	Public Health and Health Services
186	pub.1126701081	grid.21107.35	Medical and Health Sciences
187	pub.1126701081	grid.498672.6	Clinical Sciences
188	pub.1126701081	grid.498672.6	Immunology
189	pub.1126701081	grid.498672.6	Public Health and Health Services
190	pub.1126701081	grid.498672.6	Medical and Health Sciences
191	pub.1126701081	grid.1003.2	Clinical Sciences
192	pub.1126701081	grid.1003.2	Immunology
193	pub.1126701081	grid.1003.2	Public Health and Health Services
194	pub.1126701081	grid.1003.2	Medical and Health Sciences
195	pub.1126701081	grid.239915.5	Clinical Sciences
196	pub.1126701081	grid.239915.5	Immunology
197	pub.1126701081	grid.239915.5	Public Health and Health Services
198	pub.1126701081	grid.239915.5	Medical and Health Sciences
199	pub.1126701081	grid.430666.1	Clinical Sciences
200	pub.1126701081	grid.430666.1	Immunology
201	pub.1126701081	grid.430666.1	Public Health and Health Services
202	pub.1126701081	grid.430666.1	Medical and Health Sciences
203	pub.1126701081	grid.267313.2	Clinical Sciences
204	pub.1126701081	grid.267313.2	Immunology
205	pub.1126701081	grid.267313.2	Public Health and Health Services
206	pub.1126701081	grid.267313.2	Medical and Health Sciences
207	pub.1126701081	grid.4367.6	Clinical Sciences
208	pub.1126701081	grid.4367.6	Immunology
209	pub.1126701081	grid.4367.6	Public Health and Health Services
210	pub.1126701081	grid.4367.6	Medical and Health Sciences
211	pub.1126701081	grid.62560.37	Clinical Sciences
212	pub.1126701081	grid.62560.37	Immunology
213	pub.1126701081	grid.62560.37	Public Health and Health Services
214	pub.1126701081	grid.62560.37	Medical and Health Sciences
215	pub.1126843214	grid.7468.d	Microbiology
216	pub.1126843214	grid.7468.d	Medical Microbiology
217	pub.1126843214	grid.7468.d	Pharmacology and Pharmaceutical Sciences
218	pub.1126843214	grid.7468.d	Biological Sciences
219	pub.1126843214	grid.7468.d	Medical and Health Sciences
220	pub.1126843214	grid.452463.2	Microbiology
221	pub.1126843214	grid.452463.2	Medical Microbiology
222	pub.1126843214	grid.452463.2	Pharmacology and Pharmaceutical Sciences
223	pub.1126843214	grid.452463.2	Biological Sciences
224	pub.1126843214	grid.452463.2	Medical and Health Sciences
225	pub.1126886855	grid.7490.a	Medical Microbiology
226	pub.1126886855	grid.7490.a	Medical and Health Sciences
227	pub.1126886855	grid.412970.9	Medical Microbiology
228	pub.1126886855	grid.412970.9	Medical and Health Sciences
