	id	category
204	pub.1129411242	Medical and Health Sciences
205	pub.1129480028	Medical Microbiology
206	pub.1129480028	Medical and Health Sciences
207	pub.1129480028	Good Health and Well Being
208	pub.1129486798	Biomedical Engineering
209	pub.1129486798	Clinical Sciences
210	pub.1129486798	Engineering
211	pub.1129486798	Medical and Health Sciences
212	pub.1129507005	Medical Microbiology
213	pub.1129507005	Medical and Health Sciences
214	pub.1129507005	Good Health and Well Being
215	pub.1129535099	Medical Microbiology
216	pub.1129535099	Medical and Health Sciences
217	pub.1129540973	Neurosciences
218	pub.1129540973	Medical and Health Sciences
219	pub.1129565167	Statistics
220	pub.1129565167	Mathematical Sciences
221	pub.1129567644	Public Health and Health Services
222	pub.1129567644	Medical and Health Sciences
223	pub.1129571738	Immunology
224	pub.1129571738	Medical Microbiology
225	pub.1129571738	Medical and Health Sciences
226	pub.1129579425	Immunology
227	pub.1129579425	Medical and Health Sciences
228	pub.1129579425	Good Health and Well Being
229	pub.1129584790	Religion and Religious Studies
230	pub.1129584790	Philosophy and Religious Studies
231	pub.1129664214	Clinical Sciences
232	pub.1129664214	Immunology
233	pub.1129664214	Medical and Health Sciences
234	pub.1129664214	Quality Education
235	pub.1129665412	Immunology
236	pub.1129665412	Medical and Health Sciences
237	pub.1129670106	Applied Economics
238	pub.1129670106	Economics
239	pub.1129673636	Biochemistry and Cell Biology
240	pub.1129673636	Biological Sciences
241	pub.1129684001	Information Systems
242	pub.1129684001	Business and Management
243	pub.1129684001	Information and Computing Sciences
244	pub.1129684001	Commerce, Management, Tourism and Services
245	pub.1129824693	Public Health and Health Services
246	pub.1129824693	Medical and Health Sciences
247	pub.1129870290	Crop and Pasture Production
248	pub.1129870290	Food Sciences
249	pub.1129870290	Agricultural and Veterinary Sciences
250	pub.1129870290	Engineering
251	pub.1129870290	Zero Hunger
252	pub.1129897197	Immunology
253	pub.1129897197	Medical and Health Sciences
254	pub.1129903168	Clinical Sciences
255	pub.1129903168	Immunology
256	pub.1129903168	Public Health and Health Services
257	pub.1129903168	Medical and Health Sciences
258	pub.1129912096	Medical Microbiology
259	pub.1129912096	Medical and Health Sciences
260	pub.1129925107	Political Science
261	pub.1129925107	Studies in Human Society
262	pub.1129936821	Clinical Sciences
263	pub.1129936821	Medical and Health Sciences
264	pub.1129991152	Immunology
265	pub.1129991152	Neurosciences
266	pub.1129991152	Medical and Health Sciences
267	pub.1130052340	Genetics
268	pub.1130052340	Biological Sciences
269	pub.1130128326	Medical and Health Sciences
270	pub.1130153559	Medical and Health Sciences
271	pub.1130167203	Neurosciences
272	pub.1130167203	Medical and Health Sciences
273	pub.1130204521	Clinical Sciences
274	pub.1130204521	Medical and Health Sciences
275	pub.1130216912	Biochemistry and Cell Biology
276	pub.1130216912	Biological Sciences
277	pub.1130232015	Biochemistry and Cell Biology
278	pub.1130232015	Biological Sciences
279	pub.1130237957	Clinical Sciences
280	pub.1130237957	Immunology
281	pub.1130237957	Medical and Health Sciences
282	pub.1130238130	Clinical Sciences
283	pub.1130238130	Immunology
284	pub.1130238130	Medical and Health Sciences
285	pub.1130238730	Clinical Sciences
286	pub.1130238730	Immunology
287	pub.1130238730	Medical and Health Sciences
288	pub.1130254848	Medical Microbiology
289	pub.1130254848	Medical and Health Sciences
290	pub.1130327830	Psychology
291	pub.1130327830	Psychology and Cognitive Sciences
292	pub.1130327902	Oncology and Carcinogenesis
293	pub.1130327902	Medical and Health Sciences
294	pub.1130340158	Public Health and Health Services
295	pub.1130340158	Medical and Health Sciences
296	pub.1130340744	Clinical Sciences
297	pub.1130340744	Medical and Health Sciences
298	pub.1130392179	Medical and Health Sciences
299	pub.1130392179	Psychology and Cognitive Sciences
300	pub.1130397336	Cardiorespiratory Medicine and Haematology
301	pub.1130397336	Medical and Health Sciences
302	pub.1130504966	Cardiorespiratory Medicine and Haematology
303	pub.1130504966	Medical and Health Sciences
304	pub.1130538308	Clinical Sciences
305	pub.1130538308	Medical and Health Sciences
306	pub.1130575443	Medical and Health Sciences
307	pub.1130577951	Immunology
308	pub.1130577951	Medical and Health Sciences
309	pub.1130649899	Ophthalmology and Optometry
310	pub.1130649899	Medical and Health Sciences
311	pub.1130654923	Clinical Sciences
312	pub.1130654923	Medical and Health Sciences
313	pub.1130674538	Clinical Sciences
314	pub.1130674538	Neurosciences
315	pub.1130674538	Ophthalmology and Optometry
316	pub.1130674538	Medical and Health Sciences
317	pub.1130687096	Immunology
318	pub.1130687096	Medical and Health Sciences
319	pub.1130718178	Immunology
320	pub.1130718178	Medical and Health Sciences
321	pub.1130787494	Medical Microbiology
322	pub.1130787494	Medical and Health Sciences
323	pub.1130838131	Immunology
324	pub.1130838131	Medical and Health Sciences
325	pub.1130905765	Pharmacology and Pharmaceutical Sciences
326	pub.1130905765	Medical and Health Sciences
327	pub.1130928774	Public Health and Health Services
328	pub.1130928774	Medical and Health Sciences
329	pub.1130970490	Econometrics
330	pub.1130970490	Economics
331	pub.1130985011	Public Health and Health Services
332	pub.1130985011	Medical and Health Sciences
333	pub.1130993678	Clinical Sciences
334	pub.1130993678	Medical and Health Sciences
335	pub.1130993678	Good Health and Well Being
336	pub.1131077045	Clinical Sciences
337	pub.1131077045	Immunology
338	pub.1131077045	Public Health and Health Services
339	pub.1131077045	Medical and Health Sciences
340	pub.1131101178	Law
341	pub.1131101178	Law and Legal Studies
342	pub.1131202528	Business and Management
343	pub.1131202528	Commerce, Management, Tourism and Services
344	pub.1131204097	Microbiology
345	pub.1131204097	Immunology
346	pub.1131204097	Biological Sciences
347	pub.1131204097	Medical and Health Sciences
348	pub.1131215812	Medicinal and Biomolecular Chemistry
349	pub.1131215812	Organic Chemistry
350	pub.1131215812	Theoretical and Computational Chemistry
351	pub.1131215812	Chemical Sciences
352	pub.1131215812	Good Health and Well Being
353	pub.1131216008	Public Health and Health Services
354	pub.1131216008	Medical and Health Sciences
355	pub.1131255014	Environmental Science and Management
356	pub.1131255014	Environmental Sciences
357	pub.1131304301	Immunology
358	pub.1131304301	Medical and Health Sciences
359	pub.1131366772	Medical Microbiology
360	pub.1131366772	Medical and Health Sciences
361	pub.1131448655	Biochemistry and Cell Biology
362	pub.1131448655	Biological Sciences
363	pub.1131464447	Pure Mathematics
364	pub.1131464447	Mathematical Sciences
365	pub.1131471047	Environmental Science and Management
366	pub.1131471047	Environmental Sciences
367	pub.1131624623	Clinical Sciences
368	pub.1131624623	Public Health and Health Services
369	pub.1131624623	Medical and Health Sciences
370	pub.1131624687	Cardiorespiratory Medicine and Haematology
371	pub.1131624687	Medical and Health Sciences
372	pub.1131721397	Medical and Health Sciences
373	pub.1131748822	Applied Economics
374	pub.1131748822	Economics
375	pub.1131748822	Zero Hunger
376	pub.1131796221	Cardiorespiratory Medicine and Haematology
377	pub.1131796221	Medical and Health Sciences
378	pub.1131796221	Good Health and Well Being
379	pub.1131846614	Medical and Health Sciences
380	pub.1131882484	Biological Sciences
381	pub.1131882484	Medical and Health Sciences
382	pub.1131920383	Medical Microbiology
383	pub.1131920383	Medical and Health Sciences
384	pub.1132018186	Clinical Sciences
385	pub.1132018186	Medical and Health Sciences
386	pub.1132018186	Good Health and Well Being
387	pub.1132023093	Clinical Sciences
388	pub.1132023093	Medical and Health Sciences
389	pub.1132036996	Pharmacology and Pharmaceutical Sciences
390	pub.1132036996	Medical and Health Sciences
391	pub.1132062920	Cardiorespiratory Medicine and Haematology
392	pub.1132062920	Medical and Health Sciences
393	pub.1132062920	Good Health and Well Being
394	pub.1132063999	Cardiorespiratory Medicine and Haematology
395	pub.1132063999	Medical and Health Sciences
396	pub.1132108378	Statistics
397	pub.1132108378	Mathematical Sciences
398	pub.1132108762	Immunology
399	pub.1132108762	Medical Microbiology
400	pub.1132108762	Medical and Health Sciences
401	pub.1132109384	Clinical Sciences
402	pub.1132109384	Medical and Health Sciences
403	pub.1132127717	Clinical Sciences
404	pub.1132127717	Medical and Health Sciences
405	pub.1132127717	Good Health and Well Being
406	pub.1132127722	Public Health and Health Services
407	pub.1132127722	Medical and Health Sciences
408	pub.1132143651	Medical Microbiology
409	pub.1132143651	Medical and Health Sciences
410	pub.1132189732	Biochemistry and Cell Biology
411	pub.1132189732	Medical Microbiology
412	pub.1132189732	Biological Sciences
413	pub.1132189732	Medical and Health Sciences
