	full_name	main_affiliation
3205	r_seifert	grid.10423.34
1264	g_bourenkov	grid.475756.2
1094	e_shumilov	grid.411984.1
3324	s_eckert	grid.5734.5
1089	e_schernhammer	grid.22937.3d
3200	r_santos-silva	grid.411195.9
1083	e_rietschel	grid.411097.a
1100	e_stebut	grid.411097.a
3337	s_flohé	grid.410718.b
1258	g_balistreri	grid.7737.4
3199	r_saiki	grid.258799.8
3342	s_gaertner	grid.418215.b
1066	e_michailidis	grid.134907.8
3345	s_gerber	grid.411984.1
1282	g_edan	grid.414271.5
1286	g_filippatos	grid.5216.0
1062	e_lower	grid.413561.4
1061	e_lizano	grid.507636.1
1042	e_hummers	grid.411984.1
1148	f_guicking	grid.466493.a
3138	r_hardeland	grid.7450.6
3383	s_kasahara	grid.415535.3
1000	e_carpinteiro	grid.5718.b
3134	r_grainger	grid.29980.3a
1126	f_bozorgmehr	grid.5253.1
1356	g_sanz	grid.413448.e
3386	s_keitsch	grid.5718.b
1127	f_braun	grid.13648.38
1223	f_seitz	grid.8379.5
1222	f_seiler	grid.11749.3a
1360	g_shackelford	grid.5335.0
3293	s_cajander	grid.15895.30
3292	s_butcher	grid.7737.4
3321	s_dierks	grid.411984.1
1366	g_thomalla	grid.13648.38
1368	g_umapathy	grid.417634.3
1141	f_duru	grid.412004.3
3281	s_boehlken-fascher	grid.7450.6
3139	r_harris	grid.39382.33
3140	r_hasserjian	grid.32224.35
3156	r_ludwig	grid.4562.5
1026	e_graef	grid.239395.7
3357	s_haehling	grid.452396.f
1037	e_hellstroem-lindberg	grid.4714.6
1329	g_mascioli	grid.477189.4
1241	f_uhle	grid.5253.1
3365	s_hoersch	grid.11749.3a
1333	g_michels	grid.459927.4
3302	s_chiba	grid.20515.33
3148	r_kaiser	grid.11749.3a
1008	e_de brouwer	grid.5596.f
1023	e_giamarellos-bourboulis	grid.5216.0
1022	e_gaffal	grid.411559.d
1237	f_thol	grid.10423.34
1014	e_enax-krumova	grid.5570.7
1344	g_pompidor	grid.475756.2
1234	f_taccone	grid.4989.c
3376	s_johnson	grid.22072.35
3378	s_jonjic	grid.22939.33
1181	f_lammert	grid.411937.9
1647	j_cervera	grid.84393.35
1455	h_lehmann	grid.491957.7
2112	l_cantuti-castelvetri	grid.6936.a
2610	m_schilling	grid.4991.5
2104	l_brueckner	grid.5253.1
2613	m_schneider	grid.5253.1
2615	m_schons	grid.411097.a
2093	l_ades	grid.508487.6
2087	k_young	grid.267313.2
2086	k_yamatsuta	grid.459873.4
2083	k_webb	grid.7836.a
2629	m_simons	grid.424247.3
2079	k_vanness	grid.51462.34
2077	k_ueberla	grid.5330.5
2605	m_savona	grid.152326.1
2592	m_raveendran	grid.39382.33
2129	l_erpenbeck	grid.411984.1
