	id	for_v1_first_level	for_v1_first_level_code	for_v1_second_level	for_v1_second_level_code
63	pub.1128139864	Chemical Sciences	03		None
64	pub.1128226593	Medical and Health Sciences	11	Clinical Sciences	1103
65	pub.1128226593	Medical and Health Sciences	11	Human Movement and Sports Science	1106
66	pub.1128226593	Medical and Health Sciences	11	Neurosciences	1109
67	pub.1128251549	Medical and Health Sciences	11	Neurosciences	1109
68	pub.1128252328	Medical and Health Sciences	11	Clinical Sciences	1103
69	pub.1128252328	Medical and Health Sciences	11	Public Health and Health Services	1117
70	pub.1128301421	Medical and Health Sciences	11	Clinical Sciences	1103
71	pub.1128310447	Medical and Health Sciences	11	Medical Microbiology	1108
72	pub.1128446122	Medical and Health Sciences	11	Clinical Sciences	1103
73	pub.1128521242	Chemical Sciences	03	Medicinal and Biomolecular Chemistry	0304
74	pub.1128521242	Biological Sciences	06	Biochemistry and Cell Biology	0601
75	pub.1128590086	Medical and Health Sciences	11	Public Health and Health Services	1117
76	pub.1128639227	Biological Sciences	06	Biochemistry and Cell Biology	0601
77	pub.1128664332	Studies in Human Society	16	Human Geography	1604
78	pub.1128698918	Built Environment and Design	12	Urban and Regional Planning	1205
79	pub.1128698918	Studies in Human Society	16	Human Geography	1604
80	pub.1128698918	Studies in Human Society	16	Policy and Administration	1605
81	pub.1128714618	Physical Sciences	02	Other Physical Sciences	0299
82	pub.1128714618	Information and Computing Sciences	08	Artificial Intelligence and Image Processing	0801
83	pub.1128780897	Economics	14	Applied Economics	1402
84	pub.1128797017	Medical and Health Sciences	11	Clinical Sciences	1103
85	pub.1128797017	Medical and Health Sciences	11	Public Health and Health Services	1117
86	pub.1128797017	Medical and Health Sciences	11	Other Medical and Health Sciences	1199
87	pub.1128824876	Mathematical Sciences	01	Applied Mathematics	0102
88	pub.1128827880	Medical and Health Sciences	11	Clinical Sciences	1103
89	pub.1128827880	Medical and Health Sciences	11	Oncology and Carcinogenesis	1112
90	pub.1128871982	Medical and Health Sciences	11	Public Health and Health Services	1117
91	pub.1128885114	Medical and Health Sciences	11	Public Health and Health Services	1117
92	pub.1128941200	Mathematical Sciences	01	Statistics	0104
93	pub.1128948855	Medical and Health Sciences	11	Public Health and Health Services	1117
94	pub.1128948868	Medical and Health Sciences	11	Clinical Sciences	1103
95	pub.1128948868	Medical and Health Sciences	11	Immunology	1107
96	pub.1128948868	Medical and Health Sciences	11	Public Health and Health Services	1117
97	pub.1128970798	Medical and Health Sciences	11	Clinical Sciences	1103
98	pub.1128974858	Medical and Health Sciences	11	Clinical Sciences	1103
99	pub.1128974858	Medical and Health Sciences	11	Neurosciences	1109
100	pub.1128979707	Medical and Health Sciences	11	Clinical Sciences	1103
101	pub.1129058378	Medical and Health Sciences	11	Clinical Sciences	1103
102	pub.1129058378	Medical and Health Sciences	11	Public Health and Health Services	1117
103	pub.1129098340	Medical and Health Sciences	11	Clinical Sciences	1103
