	main_affiliation	category	category_count
237	grid.484013.a	Neurosciences	3
238	grid.11749.3a	Neurosciences	3
239	grid.18887.3e	Public Health and Health Services	3
240	grid.4488.0	Clinical Sciences	3
241	grid.15485.3d	Medical and Health Sciences	3
242	grid.10423.34	Biochemistry and Cell Biology	3
243	grid.10423.34	Biological Sciences	3
244	grid.10423.34	Artificial Intelligence and Image Processing	3
245	grid.10423.34	Information and Computing Sciences	3
246	grid.7177.6	Medical and Health Sciences	3
247	grid.6292.f	Medical and Health Sciences	3
248	grid.412004.3	Clinical Sciences	3
249	grid.418230.c	Medical and Health Sciences	3
250	grid.411544.1	Medical and Health Sciences	3
251	grid.478712.f	Medical and Health Sciences	3
252	grid.488779.d	Medical and Health Sciences	3
253	grid.482283.7	Good Health and Well Being	3
254	grid.482283.7	Immunology	3
255	grid.482283.7	Medical and Health Sciences	3
256	grid.415229.9	Good Health and Well Being	3
257	grid.415229.9	Immunology	3
258	grid.415229.9	Medical and Health Sciences	3
259	grid.214007.0	Good Health and Well Being	3
260	grid.214007.0	Immunology	3
261	grid.214007.0	Medical and Health Sciences	3
262	grid.194645.b	Good Health and Well Being	3
263	grid.194645.b	Immunology	3
264	grid.194645.b	Medical and Health Sciences	3
265	grid.35403.31	Good Health and Well Being	3
266	grid.35403.31	Immunology	3
267	grid.419801.5	Clinical Sciences	3
268	grid.459927.4	Clinical Sciences	3
269	grid.433867.d	Medical and Health Sciences	3
270	grid.411559.d	Medical and Health Sciences	3
271	grid.13648.38	Immunology	3
272	grid.10388.32	Immunology	3
273	grid.411668.c	Biochemistry and Cell Biology	3
274	grid.10493.3f	Biochemistry and Cell Biology	3
275	grid.47100.32	Medical and Health Sciences	3
276	grid.42327.30	Medical and Health Sciences	3
277	grid.420451.6	Medical and Health Sciences	3
278	grid.14095.39	Medical and Health Sciences	3
279	grid.415093.a	Clinical Sciences	3
280	grid.5155.4	Medical and Health Sciences	3
281	grid.6936.a	Biological Sciences	3
282	grid.8379.5	Biochemistry and Cell Biology	3
283	grid.8379.5	Biological Sciences	3
284	grid.4562.5	Biological Sciences	3
285	grid.189967.8	Medical and Health Sciences	3
286	grid.413225.3	Clinical Sciences	3
287	grid.7839.5	Clinical Sciences	3
288	grid.7839.5	Medical and Health Sciences	3
289	grid.7708.8	Clinical Sciences	3
290	grid.5335.0	Medical and Health Sciences	3
291	grid.7841.a	Medical and Health Sciences	3
292	grid.500035.3	Immunology	3
